school_name,sub_avg,data
St. Anthony's Canossian Primary School,0.08,9/146 + 8/89
Damai Primary School,0.08,16/106 + 0/65
Zhangde Primary School,0.08,15/100 + 0/63
Bedok Green Primary School,0.07,20/134 + 0/77
Queenstown Primary School,0.07,14/123 + 2/75
Changkat Primary School,0.07,15/123 + 1/74
Greenridge Primary School,0.07,18/134 + 0/78
Eunos Primary School,0.07,9/68 + 0/50
Sembawang Primary School,0.06,9/74 + 0/53
Endeavour Primary School,0.06,7/110 + 4/72
Tampines North Primary School,0.06,14/121 + 0/74
Edgefield Primary School,0.06,12/105 + 0/67
Blangah Rise Primary School,0.06,14/123 + 0/75
Woodlands Ring Primary School,0.05,9/82 + 0/57
Pioneer Primary School,0.05,6/57 + 0/46
East Spring Primary School,0.05,9/86 + 0/59
Palm View Primary School,0.05,3/135 + 7/86
Si Ling Primary School,0.05,11/107 + 0/68
Farrer Park Primary School,0.05,11/108 + 0/69
Marymount Convent School,0.05,6/157 + 6/96
Yuhua Primary School,0.05,14/148 + 0/87
Corporation Primary School,0.05,11/117 + 0/73
Kranji Primary School,0.05,13/141 + 0/84
Ang Mo Kio Primary School,0.05,10/110 + 0/70
Mayflower Primary School,0.05,9/100 + 0/66
Northoaks Primary School,0.04,13/150 + 0/89
North Vista Primary School,0.04,7/102 + 1/68
Greenwood Primary School,0.04,9/108 + 0/70
Park View Primary School,0.04,7/92 + 0/63
Stamford Primary School,0.04,6/81 + 0/58
Cedar Primary School,0.04,9/145 + 1/88
West View Primary School,0.04,6/104 + 1/69
Unity Primary School,0.04,9/126 + 0/79
Zhonghua Primary School,0.03,8/115 + 0/74
Marsiling Primary School,0.03,8/115 + 0/74
Seng Kang Primary School,0.03,8/118 + 0/75
Teck Whye Primary School,0.03,10/152 + 0/91
Townsville Primary School,0.03,9/137 + 0/85
Telok Kurau Primary School,0.03,7/137 + 1/85
Xinghua Primary School,0.03,10/192 + 0/111
Boon Lay Garden Primary School,0.03,7/140 + 0/87
Bukit View Primary School,0.02,7/143 + 0/88
Cantonment Primary School,0.02,6/123 + 0/79
Ahmad Ibrahim Primary School,0.02,7/161 + 0/97
Bukit Timah Primary School,0.02,3/109 + 1/73
North Spring Primary School,0.02,5/138 + 0/87
Meridian Primary School,0.02,5/143 + 0/89
Juying Primary School,0.02,2/58 + 0/48
Guangyang Primary School,0.02,3/90 + 0/64
New Town Primary School,0.02,6/185 + 0/110
Greendale Primary School,0.02,6/185 + 0/110
First Toa Payoh Primary School,0.02,4/124 + 0/80
Beacon Primary School,0.02,5/162 + 0/99
Lianhua Primary School,0.01,4/140 + 0/88
Gan Eng Seng Primary School,0.01,2/112 + 0/75
Angsana Primary School,0.01,3/168 + 0/103
Yio Chu Kang Primary School,0.01,2/154 + 0/96
Northshore Primary School,0,0/170 + 0/105
Valour Primary School,0,0/223 + 0/132
